#bpm=135
1,1777,0,1
1,3333,0,1
1,5333,0,2
1,6888,0,2
1,9333,0,2
1,10444,0,2
1,11333,0,1
1,12222,0,2
1,13111,0,2
1,14000,0,1
1,14888,0,1
1,16444,0,2
1,17555,0,2
1,18444,0,1
1,19111,0,1
2,20000,1778,2
1,23111,0,3
1,24000,0,1
1,24888,0,1
1,25777,0,1
1,26666,0,2
1,27555,0,2
1,28444,0,2
1,29333,0,2
1,30222,0,1
1,31111,0,1
1,32000,0,1
1,32888,0,2
1,33777,0,2
1,34666,0,2
1,35555,0,2
1,36444,0,1
1,36888,0,1
1,37333,0,1
1,38666,0,1
1,39555,0,1
1,40444,0,1
1,40888,0,2
1,41777,0,2
1,42666,0,2
1,43555,0,2
1,44000,0,1
1,44444,0,1
1,45333,0,1
1,46222,0,2
1,47111,0,2
1,48000,0,1
1,48888,0,2
1,49777,0,1
1,50666,0,2
2,51555,1333,1
1,54222,0,1
1,55111,0,3
1,56000,0,1
1,56888,0,2
1,57777,0,2
1,58666,0,1
1,59555,0,1
1,60444,0,2
1,61333,0,2
1,62222,0,1
1,63111,0,1
1,64000,0,1
1,64888,0,1
1,65777,0,2
2,66444,889,2
1,68444,0,1
1,68888,0,1
1,69333,0,1
1,70222,0,1
1,71111,0,2
1,72000,0,2
1,72888,0,1
1,73777,0,1
1,74666,0,2
1,75555,0,2
1,76444,0,1
1,77333,0,2
1,78222,0,1
1,79111,0,2
5,80000,2222,0
1,83555,0,1
1,84444,0,2
1,85333,0,2
1,86222,0,2
1,87111,0,1
1,88000,0,2
1,88888,0,1
1,89777,0,1
1,90666,0,2
1,92222,0,2
1,94222,0,1
1,95777,0,1
1,97777,0,2
